ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";n/a;;Business Services;Vermietung;550;;30;Q1;2019;Q1;2019;;BU;13,46162;52,49539
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";MVPF Technologies GmbH;Engel & Völkers;Information Technology;Vermietung;450;;19,7;Q2;2018;Q2;2018;;BU;13,46162;52,49539
67943;Treptowers - Büroturm Treptower;An den Treptowers 1;12435;Berlin;11000000;Mediaspree;Q4;1998;Completed;New Building;"BU;";n/a;;Finance Services;Vermietung;920;;20,5;Q4;2016;Q4;2016;;BU;13,46162;52,49539
223402;Königstadt Quartier;Pauline-Staegemann-Straße 2, 4, 6;10249;Berlin;11000000;Friedrichshain;Q4;2020;Completed;New Building;"BU; EH; WO;";Group2E GmbH;;Business Services;Vermietung;90;;25,5;Q4;2021;Q4;2021;;BU;13,42205;52,52569
223402;Königstadt Quartier;Pauline-Staegemann-Straße 2, 4, 6;10249;Berlin;11000000;Friedrichshain;Q4;2020;Completed;New Building;"BU; EH; WO;";n/a;;Information Technology;Vermietung;90;;25;Q4;2021;Q4;2021;;BU;13,42205;52,52569
1978;Spreefenster (ehem. Klammt);Kaiserin-Augusta-Allee 108 - 111;10553;Berlin;11000000;Tiergarten;Q2;1995;Completed;New Building;"BU;";n/a;;Information Technology;Vermietung;9410;;11,3;Q4;2016;Q4;2016;;BU;13,32202;52,52544
1978;Spreefenster (ehem. Klammt);Kaiserin-Augusta-Allee 108 - 111;10553;Berlin;11000000;Tiergarten;Q2;1995;Completed;New Building;"BU;";n/a;JLL;Not for profit, Charity, Society;Vermietung;820;;10,5;Q1;2016;Q1;2016;;BU;13,32202;52,52544
29884;;Lise-Meitner-Straße 1 / Keplerstraße 2;10589;Berlin;11000000;Charlottenburg;Q4;1995;Completed;Modernisation;"BU;";n/a;;Public Organisation;Vermietung;2850;;10;Q1;2016;Q1;2016;;BU;13,30549;52,52669
29884;;Lise-Meitner-Straße 1 / Keplerstraße 2;10589;Berlin;11000000;Charlottenburg;Q4;1995;Completed;Modernisation;"BU;";BIMA;;Public Organisation;Vermietung;2340;;8,4;Q3;2015;Q3;2015;;BU;13,30549;52,52669
29884;;Lise-Meitner-Straße 1 / Keplerstraße 2;10589;Berlin;11000000;Charlottenburg;Q4;1995;Completed;Modernisation;"BU;";n/a;;Health and Welfare Service;Vermietung;9850;;12,4;Q1;2015;Q1;2015;17;BU;13,30549;52,52669
2687;Gateway Tempelhof BT 2;Tempelhofer Weg 64;12347;Berlin;11000000;Peripherie-Süd;Q4;1997;Completed;New Building;"BU;";Stölting Kleine Service GmbH;Angermann Real Estate Advisory;Business Services;Vermietung;330;;12,5;Q4;2020;Q4;2020;;BU;13,43142;52,45331
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";n/a;;Consulting Services;Vermietung;350;;23,5;Q1;2024;Q1;2024;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";TeamViewer GmbH;CBRE;Information Technology;Vermietung;400;;22,3;Q2;2020;Q2;2020;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";Forsa Gesellschaft für Sozialforschung und statistische Analysen mbH;JLL;Research and Development;Vermietung;340;;16,5;Q2;2020;Q2;2020;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";TEAMPLAN Ingenieure GmbH;CBRE;Business Services;Vermietung;360;;16,5;Q2;2020;Q1;2020;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";Check24 GmbH;;Information Technology;Vermietung;460;;21,9;Q4;2019;Q4;2019;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";n/a;Engel & Völkers;Research and Development;Vermietung;360;;18;Q3;2019;Q3;2019;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";n/a;;Retailing;Vermietung;240;;9,5;Q2;2017;Q2;2017;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";n/a;;Business Services;Vermietung;270;;6,8;Q3;2016;Q3;2016;;BU;13,46194;52,53019
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";n/a;;Information Technology;Vermietung;140;;;Q3;2015;Q3;2015;;BU;13,46194;52,53019
